id,genre,genre_jpn
32,IP100/200/J,IP100/200/J
25,home,家庭　【 アメーバ/アメJ 】
24,fashion,ファッション　【 アメーバ 】
23,fudousan,不動産　【 アメーバ/アメJ 】
22,travel,旅行 【アメJ 】
21,recycle,リサイクル 【アメJ 】
20,school,学校　【 アメーバ 】
19,seo,SEO　【 Xsate 】
18,money,金銭　【 Xsate/J 】
17,kaigo,介護　【 Xsate 】
16,cosme,コスメ　【 Xsate 】
15,gourmet,グルメ　【 Xsate 】
14,clean,清掃　【 Xsate 】
13,zeirishi,税理士　【 アメJ/Xsate 】
12,office,オフィス 【 アメーバ/アメJ 】
11,fuzoku,風俗 【 アメJ/Xsate 】
10,renew,リニューアル　【 Xsate 】
9,gift,ギフト　【 Xsate 】
8,data,データ　【 Xsate 】
7,wedding,結婚　【 アメーバ/アメJ/Xsate 】
6,car,自動車　【 Xsate 】
5,recruit,求人　【 Xsate 】
2,adult,アダルト 【 アメーバ/アメJ/Xsate 】
1,biyou,美容　【 アメーバ/アメJ/Xsate 】
